@relation fruit

@attribute Colour {Green,Red,Yellow}
@attribute Weight numeric
@attribute Shape {Round,Oval,Long}
@attribute ' Price ' numeric
@attribute Fruit {No_fruit,Melon,Apple,Pineapple,Courgette,Banana,Tomato}

@data
Yellow,12,Oval,1.474793,?
Red,23,Oval,5.42812,?
Yellow,7,Round,0.653677,?
Green,19,Oval,3.944507,?
Green,15,Oval,2.813429,?
Green,10,Oval,1.165282,?
Red,16,Round,2.673372,?
Red,5,Round,0.842332,?
Red,18,Oval,3.033591,?
Yellow,9,Round,1.043789,?
Red,11,Oval,1.459658,?
Yellow,13,Round,2.25804,?
Red,9,Round,1.193113,?
Green,17,Oval,3.41756,?
Green,20,Round,4.493471,?
Yellow,20,Long,3.657657,?
Red,22,Long,5.107807,?
Green,9,Oval,1.609032,?
Green,11,Oval,1.59863,?
Green,22,Oval,4.630286,?
Red,16,Round,3.092853,?
Red,14,Oval,2.745796,?
Green,17,Oval,2.836175,?
Red,7,Long,0.443746,?
Red,24,Long,5.415674,?
Green,18,Long,3.561971,?
Green,15,Oval,2.156819,?
Green,13,Oval,2.192626,?
Red,12,Round,1.586658,?
Green,7,Oval,1.116479,?
Green,15,Oval,2.305416,?
Red,19,Long,3.374937,?
Green,19,Oval,3.779657,?
Red,10,Long,1.079929,?
Green,12,Oval,2.003601,?
Red,13,Oval,2.02141,?
Green,10,Long,1.156474,?
Green,15,Oval,2.309624,?
Red,8,Oval,0.827722,?
Red,24,Oval,5.343381,?
Yellow,9,Oval,1.274899,?
Red,20,Oval,3.628954,?
Yellow,16,Round,3.087694,?
Green,19,Long,3.417893,?
Red,9,Oval,1.064322,?
Red,21,Long,4.753813,?
Yellow,6,Round,0.779453,?
Green,22,Round,4.541675,?
Green,9,Round,1.487446,?
Green,6,Long,0.372394,?
Green,14,Round,2.107194,?
Green,9,Round,0.765149,?
Green,21,Oval,4.102019,?
Green,10,Oval,1.691714,?
Yellow,14,Oval,2.38838,?
Yellow,8,Oval,1.516709,?
Green,24,Oval,5.56869,?
Yellow,22,Long,4.884208,?
Red,7,Oval,0.856155,?
Red,5,Oval,0.912224,?
Red,13,Long,2.17846,?
Green,9,Long,0.897826,?
Red,22,Long,4.525476,?
Green,24,Oval,5.46642,?
Yellow,15,Round,2.403106,?
Yellow,15,Oval,2.067933,?
Yellow,10,Round,1.046216,?
Red,10,Long,1.67981,?
Red,21,Round,4.022354,?
Green,13,Round,1.665719,?
Green,18,Long,3.209754,?
Green,13,Oval,1.603353,?
Red,13,Long,2.517501,?
Red,24,Round,5.659801,?
Green,7,Oval,1.306884,?
Yellow,23,Round,5.077067,?
Red,13,Round,1.620704,?
Green,14,Round,1.826038,?
Green,7,Oval,0.75438,?
Yellow,16,Oval,2.748814,?
Green,8,Oval,0.989744,?
Green,7,Round,0.692147,?
Red,19,Long,4.121054,?
Red,16,Round,2.93064,?
Green,23,Long,5.298739,?
Yellow,9,Oval,1.36713,?
Green,7,Oval,1.062968,?
Yellow,8,Round,1.010103,?
Yellow,14,Oval,2.291407,?
Green,20,Oval,4.099073,?
Green,12,Round,1.782195,?
Yellow,19,Round,3.307422,?
Red,7,Round,0.814548,?
Red,22,Oval,4.787477,?
Yellow,22,Oval,5.013565,?
Yellow,12,Long,1.455296,?
Red,14,Oval,2.540262,?
Red,16,Oval,3.184328,?
Green,6,Long,0.615679,?
Red,18,Round,3.387764,?
Red,11,Oval,1.670087,?
Green,21,Oval,4.390921,?
Red,16,Long,3.292467,?
Yellow,7,Round,0.862906,?
Green,11,Round,1.278077,?
Green,22,Oval,5.329477,?
Red,13,Oval,2.089394,?
Green,6,Round,0.827924,?
Green,9,Long,1.319565,?
Green,13,Oval,2.112047,?
Green,19,Oval,3.720824,?
Green,13,Round,1.662779,?
Green,8,Long,0.739852,?
Green,14,Oval,2.607993,?
Green,14,Oval,1.836022,?
Green,17,Long,3.099579,?
Yellow,23,Oval,4.839599,?
Green,13,Round,2.234074,?
Green,11,Oval,1.397114,?
Green,6,Long,1.254245,?
Green,16,Oval,3.246655,?
Yellow,12,Long,1.914495,?
Green,10,Oval,0.950127,?
Green,11,Oval,1.870961,?
Red,16,Long,2.308534,?
Yellow,13,Round,1.785735,?
Yellow,12,Long,2.257658,?
Red,23,Round,5.010803,?
Red,10,Oval,1.303086,?
Green,13,Long,2.439231,?
Yellow,17,Oval,3.162568,?
Green,22,Round,5.069542,?
Green,20,Round,4.311002,?
Red,21,Round,4.475116,?
Red,12,Round,2.181522,?
Red,11,Round,1.144169,?
Green,9,Oval,1.591906,?
Yellow,22,Oval,4.47126,?
Green,9,Round,1.138607,?
Red,12,Long,1.959684,?
Yellow,16,Long,2.983664,?
Red,22,Round,5.111901,?
Green,13,Round,1.972698,?
Yellow,21,Oval,4.394853,?
Green,18,Oval,3.428929,?
Green,20,Long,4.08822,?
Red,15,Oval,2.749642,?
Green,12,Oval,1.522228,?
Green,13,Round,2.071308,?
Red,18,Oval,3.290004,?
Red,22,Round,4.828696,?
