Age,Gender,Yrs DL,Points,NCD,Engine cc,Ins Group,Stored,Car Age,Claim
52,M,16,0,0,1200,4,Garage,2,No
46,F,22,8,1,1400,2,Garage,7,Yes
59,F,9,0,0,1400,5,Garage,14,No
62,M,35,0,0,1400,4,Garage,12,No
59,F,3,0,4,1400,5,Road,13,Yes
78,M,57,4,1,1800,3,Garage,1,Yes
63,F,3,0,4,1400,6,Road,14,Yes
30,M,13,8,1,1200,4,Garage,6,Yes
24,M,5,0,3,1200,3,Garage,13,Yes
23,M,3,0,2,1200,2,Garage,4,Yes
47,F,13,0,2,1200,6,Road,4,Yes
59,M,2,0,0,1400,6,Garage,18,No
74,M,39,0,3,1200,3,Garage,3,No
68,M,12,0,4,1200,2,Drive,3,No
41,F,10,0,1,1200,5,Garage,6,No
54,F,16,4,0,1200,2,Garage,7,Yes
75,F,34,0,0,1200,2,Garage,5,No
71,M,33,0,0,1600,6,Drive,14,Yes
46,M,25,0,4,1400,4,Garage,4,No
71,F,43,0,0,1200,4,Garage,2,Yes
65,F,12,0,2,1200,5,Road,3,Yes
76,F,11,0,2,2000,8,Garage,1,Yes
35,F,2,8,4,1400,6,Garage,1,Yes
33,M,8,0,2,1200,5,Garage,7,No
46,M,4,0,4,1400,5,Garage,2,No
79,M,49,8,4,1200,5,Road,13,Yes
72,M,44,0,0,1400,3,Garage,5,No
52,F,19,0,0,1200,3,Drive,2,No
61,F,16,0,1,1600,5,Garage,5,Yes
64,M,2,0,0,1200,5,Garage,1,No
19,F,2,0,4,1400,2,Road,10,Yes
29,F,8,0,1,1400,3,Garage,3,No
35,F,1,0,1,1200,5,Garage,1,No
48,F,13,0,0,1200,2,Garage,2,No
57,F,8,0,0,1800,6,Road,7,Yes
23,F,5,8,4,1200,3,Garage,11,Yes
38,F,2,0,1,1200,6,Garage,5,No
27,M,8,0,2,1200,4,Garage,8,No
31,F,1,0,4,1200,3,Garage,2,No
54,M,11,0,3,1600,6,Garage,16,Yes
25,F,1,0,1,1400,6,Road,8,No
64,F,40,0,3,1200,5,Drive,2,Yes
72,M,3,0,3,1200,2,Drive,13,No
58,M,30,0,2,1400,6,Drive,1,Yes
44,F,3,0,4,1600,3,Drive,19,No
18,F,1,0,4,1200,5,Garage,19,No
54,M,10,0,2,1200,4,Road,7,Yes
49,M,9,0,4,1800,4,Road,1,Yes
